hour	count	levelaccess	order
06	53	no access	1
06	6	400-800m	2
06	1	within400m	3
07	121	no access	1
07	13	400-800m	2
07	4	within400m	3
08	86	no access	1
08	14	400-800m	2
08	2	within400m	3
09	91	no access	1
09	9	400-800m	2
09	5	within400m	3
10	77	no access	1
10	9	400-800m	2
10	3	within400m	3
11	151	no access	1
11	21	400-800m	2
11	11	within400m	3
12	163	no access	1
12	27	400-800m	2
12	7	within400m	3
13	136	no access	1
13	24	400-800m	2
13	15	within400m	3
14	100	no access	1
14	16	400-800m	2
14	4	within400m	3
15	49	no access	1
15	8	400-800m	2
15	4	within400m	3
16	32	no access	1
16	5	400-800m	2
16	2	within400m	3
17	38	no access	1
17	6	400-800m	2
17	1	within400m	3
18	37	no access	1
18	4	400-800m	2
18	7	within400m	3
19	36	no access	1
19	10	400-800m	2
19	3	within400m	3
20	39	no access	1
20	12	400-800m	2
20	1	within400m	3
21	35	no access	1
21	6	400-800m	2
21	3	within400m	3
22	28	no access	1
22	7	400-800m	2
22	2	within400m	3
23	16	no access	1
23	2	400-800m	2
23	2	within400m	3
