,oid,lat_origin,long_origin,flow,hour
0,124,24.576,46.588,1,14:00
1,216,24.591,46.725,1,14:00
2,235,24.594,46.594,1,14:00
3,241,24.596,46.781,1,14:00
4,249,24.597,46.737,1,14:00
5,267,24.601,46.748,1,14:00
6,395,24.63,46.539,1,14:00
7,418,24.635,46.682,1,14:00
8,546,24.659,46.685,1,14:00
9,565,24.662,46.702,1,14:00
10,683,24.679,46.648,1,14:00
11,725,24.684,46.559,1,14:00
12,733,24.685,46.738,1,14:00
13,788,24.69,46.773,1,14:00
14,941,24.709,46.675,1,14:00
15,945,24.709,46.752,1,14:00
16,946,24.709,46.764,1,14:00
17,969,24.712,46.701,1,14:00
18,970,24.712,46.759,1,14:00
19,998,24.717,46.682,1,14:00
20,1015,24.719,46.737,1,14:00
21,1082,24.728,46.758,1,14:00
22,1125,24.733,46.663,1,14:00
23,1155,24.737,46.682,1,14:00
24,1158,24.737,46.774,1,14:00
25,1194,24.741,46.657,1,14:00
26,1220,24.744,46.616,1,14:00
27,1260,24.75,46.71,1,14:00
28,1263,24.75,46.623,1,14:00
29,1310,24.755,46.739,1,14:00
30,1318,24.756,46.775,1,14:00
31,1348,24.762,46.655,1,14:00
32,1353,24.763,46.618,1,14:00
33,1361,24.764,46.763,1,14:00
34,1365,24.765,46.725,1,14:00
35,1373,24.767,46.703,1,14:00
36,1379,24.768,46.686,1,14:00
37,1384,24.769,46.668,1,14:00
38,1397,24.771,46.66,1,14:00
39,1404,24.772,46.734,1,14:00
40,1416,24.775,46.728,3,14:00
41,1429,24.777,46.675,1,14:00
42,1438,24.779,46.784,1,14:00
43,1440,24.779,46.799,1,14:00
44,1442,24.78,46.738,1,14:00
45,1449,24.782,46.685,1,14:00
46,1464,24.785,46.725,1,14:00
47,1478,24.787,46.719,1,14:00
48,1484,24.789,46.74,1,14:00
49,1492,24.79,46.711,4,14:00
50,1500,24.793,46.747,1,14:00
51,1505,24.794,46.629,1,14:00
52,1524,24.799,46.728,1,14:00
53,1527,24.799,46.741,1,14:00
54,1533,24.8,46.717,1,14:00
55,1537,24.801,46.699,1,14:00
56,1541,24.802,46.707,1,14:00
57,1547,24.804,46.753,1,14:00
58,1559,24.806,46.886,1,14:00
59,1560,24.806,46.712,4,14:00
60,1567,24.808,46.665,1,14:00
61,1573,24.81,46.783,1,14:00
62,1579,24.813,46.712,2,14:00
63,1583,24.814,46.7,1,14:00
64,1593,24.816,46.775,2,14:00
65,1595,24.817,46.71,1,14:00
66,1599,24.818,46.578,1,14:00
67,1600,24.818,46.765,2,14:00
68,1605,24.82,46.686,1,14:00
69,1616,24.824,46.781,1,14:00
70,1619,24.826,46.739,5,14:00
71,1621,24.828,46.796,1,14:00
72,1623,24.829,46.723,4,14:00
73,1625,24.83,46.768,1,14:00
74,1633,24.836,46.683,6,14:00
75,1655,24.85,46.762,2,14:00
76,1658,24.851,46.696,1,14:00
77,1665,24.856,46.697,7,14:00
78,1687,24.879,46.874,2,14:00
79,1692,24.916,46.809,1,14:00
80,1693,24.923,46.713,4,14:00
81,1697,24.948,46.705,2,14:00
82,1712,24.978,46.69,3,14:00
