,did,lat_dest,long_dest,flow,hour
0,192,24.587,46.539,1,7:00
1,540,24.657,46.83,1,7:00
2,690,24.68,46.72,1,7:00
3,969,24.712,46.701,1,7:00
4,1015,24.719,46.737,1,7:00
5,1113,24.732,46.645,1,7:00
6,1139,24.734,46.631,1,7:00
7,1211,24.743,46.703,1,7:00
8,1233,24.746,46.747,1,7:00
9,1329,24.759,46.756,1,7:00
10,1349,24.762,46.718,1,7:00
11,1404,24.772,46.734,1,7:00
12,1409,24.773,46.742,1,7:00
13,1447,24.781,46.708,1,7:00
14,1478,24.787,46.719,1,7:00
15,1482,24.788,46.618,1,7:00
16,1492,24.79,46.711,2,7:00
17,1509,24.794,46.734,1,7:00
18,1537,24.801,46.699,1,7:00
19,1565,24.807,46.809,1,7:00
20,1567,24.808,46.665,1,7:00
21,1579,24.813,46.712,1,7:00
22,1587,24.814,46.786,1,7:00
23,1603,24.82,46.676,1,7:00
24,1619,24.826,46.739,1,7:00
25,1633,24.836,46.683,3,7:00
26,1635,24.837,46.773,1,7:00
27,1697,24.948,46.705,1,7:00
28,1701,24.956,46.703,1,7:00
29,1706,24.962,46.801,1,7:00
