hour1	counta	levelaccess1	order1
06	18	no access	1
06	0	400-800m	2
06	2	within400m	3
07	25	no access	1
07	5	400-800m	2
07	3	within400m	3
08	39	no access	1
08	7	400-800m	2
08	6	within400m	3
09	53	no access	1
09	11	400-800m	2
09	4	within400m	3
10	54	no access	1
10	5	400-800m	2
10	13	within400m	3
11	108	no access	1
11	16	400-800m	2
11	11	within400m	3
12	284	no access	1
12	33	400-800m	2
12	16	within400m	3
13	235	no access	1
13	31	400-800m	2
13	17	within400m	3
14	209	no access	1
14	37	400-800m	2
14	20	within400m	3
15	80	no access	1
15	15	400-800m	2
15	6	within400m	3
16	29	no access	1
16	11	400-800m	2
16	2	within400m	3
17	40	no access	1
17	9	400-800m	2
17	4	within400m	3
18	33	no access	1
18	4	400-800m	2
18	7	within400m	3
19	38	no access	1
19	5	400-800m	2
19	4	within400m	3
20	35	no access	1
20	5	400-800m	2
20	3	within400m	3
21	31	no access	1
21	3	400-800m	2
21	3	within400m	3
22	31	no access	1
22	6	400-800m	2
22	3	within400m	3
23	13	no access	1
23	3	400-800m	2
23	1	within400m	3
