,oid,lat_origin,long_origin,flow,hour
0,124,24.576,46.588,1,19:00
1,1263,24.75,46.623,1,19:00
2,1317,24.756,46.711,1,19:00
3,1353,24.763,46.618,2,19:00
4,1377,24.768,46.772,1,19:00
5,1380,24.768,46.747,1,19:00
6,1406,24.772,46.72,1,19:00
7,1416,24.775,46.728,1,19:00
8,1454,24.782,46.793,1,19:00
9,1467,24.785,46.731,1,19:00
10,1468,24.785,46.661,1,19:00
11,1492,24.79,46.711,1,19:00
12,1524,24.799,46.728,1,19:00
13,1532,24.8,46.811,1,19:00
14,1533,24.8,46.717,1,19:00
15,1535,24.801,46.656,1,19:00
16,1560,24.806,46.712,1,19:00
17,1578,24.812,46.751,1,19:00
18,1579,24.813,46.712,2,19:00
19,1605,24.82,46.686,1,19:00
20,1619,24.826,46.739,7,19:00
21,1623,24.829,46.723,3,19:00
22,1625,24.83,46.768,1,19:00
23,1633,24.836,46.683,1,19:00
24,1655,24.85,46.762,3,19:00
25,1694,24.933,46.838,2,19:00
26,1697,24.948,46.705,3,19:00
27,1698,24.951,46.794,2,19:00
28,1699,24.955,46.702,3,19:00
29,1709,24.965,46.8,1,19:00
30,1711,24.975,46.771,1,19:00
