,did,lat_dest,long_dest,flow,hour
0,17,24.537,46.642,1,15:00
1,103,24.571,46.629,1,15:00
2,241,24.596,46.781,1,15:00
3,275,24.602,46.764,1,15:00
4,351,24.62,46.573,1,15:00
5,372,24.625,46.776,1,15:00
6,382,24.627,46.695,1,15:00
7,451,24.639,46.823,1,15:00
8,452,24.639,46.574,3,15:00
9,524,24.654,46.749,1,15:00
10,639,24.673,46.776,1,15:00
11,666,24.677,46.692,1,15:00
12,730,24.685,46.685,1,15:00
13,835,24.695,46.734,1,15:00
14,850,24.698,46.649,1,15:00
15,932,24.708,46.661,1,15:00
16,950,24.71,46.807,1,15:00
17,970,24.712,46.759,3,15:00
18,1161,24.738,46.844,1,15:00
19,1233,24.746,46.747,2,15:00
20,1279,24.752,46.657,1,15:00
21,1282,24.752,46.749,1,15:00
22,1310,24.755,46.739,1,15:00
23,1322,24.758,46.783,1,15:00
24,1337,24.76,46.686,1,15:00
25,1344,24.762,46.674,1,15:00
26,1371,24.766,46.692,1,15:00
27,1375,24.768,46.712,1,15:00
28,1377,24.768,46.772,1,15:00
29,1384,24.769,46.668,1,15:00
30,1397,24.771,46.66,1,15:00
31,1402,24.771,46.69,1,15:00
32,1404,24.772,46.734,2,15:00
33,1410,24.774,46.683,1,15:00
34,1416,24.775,46.728,1,15:00
35,1421,24.776,46.71,1,15:00
36,1438,24.779,46.784,1,15:00
37,1439,24.779,46.693,1,15:00
38,1442,24.78,46.738,1,15:00
39,1458,24.783,46.825,1,15:00
40,1464,24.785,46.725,3,15:00
41,1467,24.785,46.731,1,15:00
42,1468,24.785,46.661,1,15:00
43,1478,24.787,46.719,1,15:00
44,1480,24.788,46.681,1,15:00
45,1488,24.789,46.803,1,15:00
46,1492,24.79,46.711,1,15:00
47,1499,24.792,46.641,1,15:00
48,1523,24.799,46.666,1,15:00
49,1547,24.804,46.753,2,15:00
50,1558,24.806,46.695,1,15:00
51,1560,24.806,46.712,2,15:00
52,1565,24.807,46.809,1,15:00
53,1569,24.808,46.859,1,15:00
54,1579,24.813,46.712,5,15:00
55,1582,24.813,46.883,1,15:00
56,1586,24.814,46.641,1,15:00
57,1594,24.816,46.739,2,15:00
58,1598,24.817,46.809,1,15:00
59,1605,24.82,46.686,1,15:00
60,1606,24.82,46.751,1,15:00
61,1612,24.822,46.641,1,15:00
62,1617,24.825,46.774,1,15:00
63,1619,24.826,46.739,4,15:00
64,1623,24.829,46.723,1,15:00
65,1625,24.83,46.768,1,15:00
66,1633,24.836,46.683,3,15:00
67,1655,24.85,46.762,2,15:00
68,1661,24.852,46.776,1,15:00
69,1665,24.856,46.697,1,15:00
70,1692,24.916,46.809,1,15:00
71,1693,24.923,46.713,2,15:00
72,1697,24.948,46.705,4,15:00
73,1699,24.955,46.702,1,15:00
74,1703,24.959,46.794,1,15:00
75,1712,24.978,46.69,1,15:00
