hour	count	levelaccess	order
10	77	noaccess	1
10	9	within400800m	2
10	3	within400m	3
11	151	noaccess	1
11	21	within400800m	2
11	11	within400m	3
12	163	noaccess	1
12	27	within400800m	2
12	7	within400m	3
13	136	noaccess	1
13	24	within400800m	2
13	15	within400m	3
14	100	noaccess	1
14	16	within400800m	2
14	4	within400m	3
15	49	noaccess	1
15	8	within400800m	2
15	4	within400m	3
16	32	noaccess	1
16	5	within400800m	2
16	2	within400m	3
17	38	noaccess	1
17	6	within400800m	2
17	1	within400m	3
18	37	noaccess	1
18	4	within400800m	2
18	7	within400m	3
19	36	noaccess	1
19	10	within400800m	2
19	3	within400m	3
20	39	noaccess	1
20	12	within400800m	2
20	1	within400m	3
21	35	noaccess	1
21	6	within400800m	2
21	3	within400m	3
22	28	noaccess	1
22	7	within400800m	2
22	2	within400m	3
23	16	noaccess	1
23	2	within400800m	2
23	2	within400m	3
06	53	noaccess	1
06	6	within400800m	2
06	1	within400m	3
07	121	noaccess	1
07	13	within400800m	2
07	4	within400m	3
08	86	noaccess	1
08	14	within400800m	2
08	2	within400m	3
09	91	noaccess	1
09	9	within400800m	2
09	5	within400m	3
